Year  terrorism  terrorist occupation  narcotic  violation  democracy  development
2000   0          0         0           0         0          0          0
2001   3          8         0           2         0          1          1
2002   4         11         4           4         2          13         16                                                     
2003   37        42         8           18        9          23         39
2004   38        70         40          104       34         65         31
2005   38        64         72          17        7          25         44
2006   65        331        156         16        17         42         63
2007   146       289        26          34        44         142        172
2008   792       1074       34          89        117        201        361
2009   474       1469       73          163       213        290        950
2010   1063      2635       108         329       238        168        1624
2011   2454      6940       184         560       740        585        4783
2012   1496      3700       128         320       232        301        1759
2013   2228      5870       140         1117      644        763        3601
2014   2461      8826       236         489       904        575        3154
2015   773       1155       10          34        49         54         352 
